,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
417,Shangri-La Frontier,"Action, Adventure, Comedy, Fantasy, Sci-Fi",C2C,25,2023-10,Tv,80.0,AniList
418,Tomodachi Game,"Drama, Mystery, Psychological, Thriller",Okuruto Noboru,12,2022-04,Ona,76.0,AniList
419,Date A Live II,"Action, Comedy, Ecchi, Fantasy, Romance, Sci-Fi",AIC Plus+,10,2014-04,Tv,69.0,AniList
420,Kizumonogatari Part 3: Reiketsu,"Action, Drama, Ecchi, Mystery, Psychological, Supernatural",Shaft,1,2017-01,Movie,87.0,AniList
421,Wandering Witch: The Journey of Elaina,"Adventure, Fantasy, Slice of Life",C2C,12,2020-10,Tv,74.0,AniList
422,Redo of Healer,"Action, Adventure, Ecchi, Fantasy",TNK,12,2021-01,Tv,57.0,AniList
423,The Fruit of Grisaia,"Drama, Ecchi, Psychological, Romance",8-bit,13,2014-10,Tv,71.0,AniList
424,Attack on Titan Final Season THE FINAL CHAPTERS Special 2,"Action, Drama, Fantasy, Psychological, Romance",MAPPA,1,2023-11,Special,87.0,AniList
425,Paprika,"Fantasy, Mystery, Psychological, Sci-Fi, Thriller",MADHOUSE,1,2006-11,Movie,78.0,AniList
426,Made in Abyss: The Golden City of the Scorching Sun,"Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi",KADOKAWA,12,2022-07,Tv,85.0,AniList
